property_name,Property_Type,society,sector,price,Price_Per_SQFT,bedRoom,bathroom,balcony,address,floorNum,agePossession,description,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
3 BHK Flat in Sector 90 Gurgaon,flat,dlf regal gardens,sector 90,1.19,5505.0,3.0,3.0,2,"Middle Floor Tower B, Sector 90 Gurgaon, Gurgaon, Haryana",11.0,Relatively New,"Dlf regal garden sector 90 north-East facing 3 bhk resale flat is available in the promising locality of sector-90, gurgaon. Best and luxurious society delivered by dlf. Centralized lobby and club area. All basic amenities are there. More than 200 families are residing there. Shuttle services are there. Online cabs are on 7 to 10 minutes waiting. He flat is a freehold property and has a super built-Up area of 1726 sq. Ft. The flat is located in a gated society and offers good security.
 
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",1562.0,0.0,0.0,0.0,0.0,1.0,1.0,174.0
3 BHK Flat in Sector 81 Gurgaon,flat,bestech park view ananda,sector 81,1.35,7541.0,3.0,3.0,3+,"Sector 81 Gurgaon, Gurgaon, Haryana",10.0,Moderately Old,"Bestech park view ananda is one of gurgaon's most sought after destination for apartments and this 3 bhk flat in sector 81 gurgaon is your opportunity to be a part of this community. This residential flat is west-Facing direction. The flat occupies a super built up area of 1790 sq.Ft. That consists of 3 bedrooms, 3 bathrooms and more than 3 balconies. This flat lies on the 10th level of a 15 storey building. An added advantage of this 5-10 years old flat is that it is available for immediate possession as the project is already ready to move. The marble flooring of this flat is beautifully designed and helps to give it a pleasing look. The flat will offer a modern lifestyle as it is presented with many of the amenities such as swimming pool, water softening plant, security personnel, maintenance staff, shopping centre, club house / community center, fitness centre / gym, park and lift(s). You enjoy a 24*7 access to water in your flat.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",1438.0,0.0,0.0,1.0,0.0,0.0,2.0,82.0
4 BHK Flat in Sector 69 Gurgaon,flat,tulip purple,sector 69,1.8,9000.0,4.0,5.0,3+,"Sector 69 Gurgaon, Gurgaon, Haryana",4.0,Relatively New,Very nice property at nice location at cheaper price than market price,2200.0,0.0,1.0,0.0,0.0,0.0,2.0,137.0
3 BHK Flat in Sector 103 Gurgaon,flat,indiabulls centrum park,sector 103,1.35,7541.0,3.0,3.0,3+,"Sector 103 Gurgaon, Gurgaon, Haryana",3.0,Relatively New,"Check out this 3 bhk apartment for sale in indiabulls centrum park, a popular residential project that houses in-Demand flats in sector 103 gurgaon. This is a north-East-Facing property. Constructed on a super built up area of 1790 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and more than 3 balconies. This flat is situated on the 3rd floor of this 18 floors tall residential building. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready to move. The beautifully designed ceramic flooring enhances the beauty of the flat. Many of the modern amenities being offered, like swimming pool, grocery shop, shopping centre, cctv surveillance, club house / community center, fitness centre / gym, park, lift(s), maintenance staff, visitor parking, water softening plant and security personnel, will provide a pleasant living experience for you. The residents of this project enjoy a 24*7 access to clean water.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",1620.0,1.0,0.0,0.0,0.0,0.0,2.0,137.0
3 BHK Flat in Sector 109 Gurgaon,flat,sbtl caladium,sector 109,1.7,6679.0,3.0,3.0,3+,"Sector 109 Gurgaon, Gurgaon, Haryana",9.0,Relatively New,"Situated in sector 109 gurgaon, sbtl caladium is a well planned society that offers a pleasant living experience to its residents. This 3 bhk flat in gurgaon is your opportunity to be a part of this community. The flat is facing the north-East direction. The floor plan additionally contains 3 bedroom(s), 3 bathrooms and more than 3 balconies. All in all, the flat is spread over a super built up area of 2545 sq.Ft. This flat is situated on the 9th floor of this 19 floors tall residential building. Being a ready to move project, you can expect immediate possession of this 1-5 years old property. The flat comes well built with ceramic flooring options. The flat will offer a modern lifestyle as it is presented with many of the amenities such as swimming pool, security personnel, maintenance staff, club house / community center, cctv surveillance, fitness centre / gym, park, lift(s), visitor parking, water softening plant and shopping centre. You enjoy a 24*7 access to water in your flat.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",2303.0,0.0,1.0,0.0,0.0,0.0,1.0,137.0
4 BHK Flat in Sector 82 Gurgaon,flat,vatika the seven lamps,sector 82,1.6,6597.0,4.0,5.0,3+,"Sector 82 Gurgaon, Gurgaon, Haryana",8.0,Relatively New,"Vatika india next seven lamps apartment in sector-82 gurgaon, gurgaon by vatika group is a residential project. The project offers land with perfect combination of contemporary architecture and features to provide comfortable living. The size of the flat is from 1298 sq ft to 2425 sq ft vatika india next apartment price ranges from 80 lakh to 1.22 cr. Vatika india next apartment offers facilities such as gymnasium. It also has amenities like golf course and swimming pool. It also offers car parking. The project is vastu complaint. Bank loan approved from hdfc home loans. It is a ready to move project. An accommodation of 1200 units has been provided. You can find vatika india next floors price list on 99acres.Com. About city: Backed by strong infrastructure and job creations, the real estate of delhi/ncr is moving up. With increasing investments from builders in regions like noida, greater noida, gurgaon and faridabad, the increasing demands are being catered to affecting the realty market positively. Additionally, other factors contributing to this positivity are the metro smoothening connectivity between different parts of the city and a number of expressways and flyovers letting you skip the traffic.
 
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",2195.0,0.0,1.0,0.0,0.0,0.0,1.0,81.0
3 BHK Flat in Sector 60 Gurgaon,flat,ireo skyon,sector 60,2.65,13125.0,3.0,4.0,3+,"Block D, Sector 60 Gurgaon, Gurgaon, Haryana",7.0,Moderately Old,"Ireo skyon all sizes available at best price guaranteed. Ireo skyon community offers a mix of 2, 3 & 4 bedroom apartments, while there are two variants in the 2 bedroom apartments, namely 2 bedroom with servant room & 2 bedroom without servant room which come either with the servant room or without. The 3 bedroom apartments come with servant room/servant toilet and the layout remains standard across all towers and the layout remains same in all towers for the three bedroom apartments. The 4 bedroom apartments in ireo skyon offers two different layout variants.Given the price and the location of ireo skyon, it does become one of the most viable option for living and for investment in current times. The apartments are quick to go off on rent and there is a lot of traction from expats/foreigners who like to choose ireo skyon as their home. This is primarily due to the apartment layout being very interesting with large master bedrooms and spread out balconies and a feel of openness in ireo skyon.From the perfect location, to the high-End amenities, to the personality built-In throughout the design, this residential community is ready and waiting to become the ideal home for you and your family.",2037.0,0.0,1.0,0.0,0.0,0.0,2.0,49.0
2 BHK Flat in Sector 85 Gurgaon,flat,orris carnation residency,sector 85,0.55,643.0,2.0,2.0,2,"504, Orris Carnation Residency Sector 85 Gurgaon, Sector 85 Gurgaon, Gurgaon, Haryana",5.0,Relatively New,"Orris carnation residency is one of gurgaon's most sought after destination for residential apartments and this 2 bhk flat in sector-85 gurgaon is your opportunity to be a part of this community. The flat is over super built up area of 1115 sq.Ft. And comes with 2 bathrooms and 2 balconies. The flat building has a total of 12 floors and this property is situated on 5th floor. Being a ready to move project, you can expect immediate possession of this 1-5 year(s) old property.
 
 
 Additional details :Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
The society has dedicated security guards for every tower.",1050.0,0.0,0.0,0.0,0.0,1.0,1.0,49.0
3 BHK Flat in Sector 102 Gurgaon,flat,emaar gurgaon greens,sector 102,1.4,13690.0,3.0,3.0,3,"Sector 102 Gurgaon, Gurgaon, Haryana",7.0,Relatively New,"This property is available for sale/rent with huge gated complex & good location in the complex with all the modern features in the complex with near by shopping complex , schools , office , mall and other reaction facilities like indoor swing pool , kids play area gym , squash court , tennis court , scatting area , jogging track , cycling track , basket ball court , basement parking for all cars , food court , needs shop , this are all the features in the complex with full power back up , security , and well connected to all the sectors of gurgaon welcome to city one of the largest ever group housing development in gurgaon. Spread over acres of township located at the golf course road , will be a synthesis of contemporary design, traditional landscapes and understated elegance. It will feature a series of low-Rise, mid-Rise and high-Rise buildings offering over moe than 4400 apartments in combination of two, three, four bedrooms, duplexes and penthouses with complete range of facilities exclusively for residents. The concept behind the sovereign apartments is to create an atmosphere for dwelling, so exclusive, that the discerning few destined to live there would have the pleasure of acknowledging everyday that they live in a setting that truly befits them and their lifestyles. Located in gurgaon , these air conditioned apartments are widely acknowledged as a world-Class development; Sovereign is a truly distinguished address within gurgaon, largest and best planned gated community. Gymnasium, swimming pool, needs super market, departmental stores, retail shops, office spaces, coffee shop, 100% power back up, lifts in all apartments, banquet hall, crche, community hall, polyclinic, jogging track, children, play area, drivers rest room, business lobby, multi level basement car parking, manned entry/exit points, boom barrier at both entries and exit, register entry/ exit recording and hourly tally of the entries/ exit for visitors, issued parking stickers for all residents, each apartment connected through intercom for main gate, access card system, for the flat owner, teleconference. For communication between the flat owner and the visitor, fire alarm system, video surveillance",1315.0,0.0,1.0,0.0,0.0,0.0,1.0,49.0
2 BHK Flat in Palam Vihar,flat,bestech park view residency,sector 1,1.26,8051.0,2.0,2.0,3,"Palam Vihar, Gurgaon, Haryana",7.0,Moderately Old,"Situated in palam vihar, gurgaon, bestech park view residency is a well planned society that offers a pleasant living experience to its residents. This 2 bhk flat in gurgaon is your opportunity to be a part of this community. The flat is facing the west direction. The flat occupies a super built up area of 1565 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 3 balconies. The property is located on the 7th floor of a 14 floors tall building. An added advantage of this 5-10 years old flat is that it is available for immediate possession as the project is already ready to move. The floor of this flat is beautifully designed using vitrified flooring, giving the flat an alluring look. Bestech park view residency is designed very well to provide modern facilities such as swimming pool, grocery shop, cctv surveillance, club house / community center, fitness centre / gym, park, lift(s), maintenance staff, visitor parking, shopping centre, water softening plant and security personnel. The society provides continuous water supply from municipal corporation.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",1416.0,1.0,0.0,0.0,0.0,0.0,2.0,144.0
4 BHK Flat in Sector 107 Gurgaon,flat,m3m woodshire,sector 107,1.7,6141.0,4.0,5.0,3+,"901, Sector 107 Gurgaon, Gurgaon, Haryana",9.0,Relatively New,"M3m woodshire is situated in sec-107, dwarka expressway. 2746 sqft is the biggest size of 4 bhk which is in tower a4. Its the most demanded size of the market. It has 5 balconies in which most of the balconies are sun facing. A4 tower has only 4 units per floor. 6 split acs, 1 gyser, lights and fans are already provided by the builder. This is the registration done flat and that too without loan. Call for site visit of the exact flat and more details.
 
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",2505.0,0.0,1.0,0.0,0.0,0.0,2.0,107.0
3 BHK Flat in Sector 22 Gurgaon,flat,ambience creacions,sector 22,4.1,28101.0,3.0,3.0,3+,"101, Sector 22 Gurgaon, Gurgaon, Haryana",2.0,New Property,Closer to highway nd accessible to near shops,2069.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0
2 BHK Flat in Sector 103 Gurgaon,flat,indiabulls centrum park,sector 103,1.01,8080.0,2.0,2.0,3,"5th, Sector 103 Gurgaon, Gurgaon, Haryana",5.0,Relatively New,"This 2 bhk flat is located in indiabulls centrum park, which houses some of the most spacious flats in sector 103 gurgaon. The flat is facing the north-East direction. The flat is over 1423 sq.Ft. Super built up area and comes with 2 bedroom(s), 2 bathrooms and 3 balconies. This flat is situated on the 5th floor of this 18 floors tall residential building. As the project is already ready to move, so you can easily move into this 1-5 years old property. The floor of this flat is beautifully designed using vitrified flooring, giving the flat an alluring look. Proximity to landmarks like close to metro station, close to school and close to railway station makes this an ideal property for families. All the modern amenities such as swimming pool, grocery shop, shopping centre, cctv surveillance, club house / community center, fitness centre / gym, park, lift(s), maintenance staff, visitor parking, water softening plant and security personnel will make life easier for you. The housing society ensures a continuous supply of water to your flat from municipal corporation and borewell/tank.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",1338.0,0.0,0.0,1.0,0.0,0.0,2.0,88.0
3 BHK Flat in Sector 99A Gurgaon,flat,pareena coban residences,sector 99,1.45,7260.0,3.0,5.0,3,"Sector 99A Gurgaon, Gurgaon, Haryana",11.0,Relatively New,"3 bhk unit comes with 5 toilets, servent room, seperate living and dining and much more.
Impressive layouts with many amenities ready to use. Few units available.",1807.0,0.0,1.0,0.0,0.0,1.0,2.0,120.0
3 BHK Flat in Sector 48 Gurgaon,flat,parsvnath green ville,sector 48,1.6,8376.0,3.0,3.0,3+,"801, Sector 48 Gurgaon, Gurgaon, Haryana",8.0,Old Property,"This lovely 3 bhk apartment/flat in sector 48 gurgaon is available for sale in one of gurgaon's most popular projects, parsvnath green ville. Constructed on a super built up area of 1910 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and more than 3 balconies. This flat lies on the 8th level of a 11 storey building. This is a ready to move project and the property is 10 years old.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
The society has dedicated security guards for every tower.",1895.0,0.0,0.0,0.0,0.0,1.0,2.0,51.0
3 BHK Flat in Sector 66 Gurgaon,flat,emaar mgf the palm drive,sector 66,2.99,14950.0,3.0,3.0,3,"Sector 66 Gurgaon, Gurgaon, Haryana",7.0,Relatively New,We deal exclusively in palm drive,2000.0,0.0,1.0,0.0,0.0,0.0,2.0,31.0
3 BHK Flat in Sector 102 Gurgaon,flat,conscient heritage max,sector 102,1.9,9783.0,3.0,4.0,3+,"Sector 102 Gurgaon, Gurgaon, Haryana",20.0,Relatively New,"Looking for a 3 bhk property for sale in gurgaon? Buy this 3 bhk flat in conscient heritage max that is situated in sector 102 gurgaon. The flat occupies a super built up area of 1942 sq.Ft. That consists of 3 bedrooms, 4 bathrooms and more than 3 balconies. This flat lies on the 20th level of a 26 storey building. This 1-5 years old property is available for immediate possession as the project is ready to move.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",1757.0,0.0,1.0,0.0,0.0,0.0,2.0,82.0
3 BHK Flat in Sector 65 Gurgaon,flat,emaar mgf emerald estate,sector 65,1.75,12544.0,3.0,3.0,3,"Sector 65 Gurgaon, Gurgaon, Haryana",10.0,Relatively New,A well maintained flat in emerald estate,1081.0,0.0,1.0,0.0,0.0,0.0,2.0,72.0
3 BHK Flat in Sector 90 Gurgaon,flat,dlf regal gardens,sector 90,1.3,7150.0,3.0,3.0,3+,"Sector 90 Gurgaon, Gurgaon, Haryana",7.0,Relatively New,"Located in the popular residential address of sector 90 gurgaon, dlf regal gardens is one of the most preferred destination for apartments in gurgaon. This 3 bhk flat is your ticket to be a part of this community. This residential flat is east-Facing direction. The flat is over 1818 sq.Ft. Super built up area and comes with 3 bedroom(s), 3 bathrooms and more than 3 balconies. This flat is situated on the 7th floor of this 29 floors tall residential building. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready to move. The ceramic flooring of this flat is beautifully designed and helps to give it a pleasing look. Proximity to landmarks like close to school and close to market makes this an ideal property for families. The society is well equipped with many modern amenities, including swimming pool, club house / community center, cctv surveillance, fitness centre / gym, park, lift(s), maintenance staff, visitor parking, water softening plant, shopping centre and security personnel. The residential project is well equipped to meet all your water needs through access to municipal corporation supply.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",1700.0,0.0,0.0,0.0,0.0,0.0,1.0,72.0
3 BHK Flat in Sector 67 Gurgaon,flat,ireo victory valley,sector 67,2.95,12235.0,3.0,3.0,3,"Golf Course Extension Road, Sector 67 Gurgaon, Gurgaon, Haryana",10.0,Relatively New,"100% genuine deals available in ireo victory valley. Multiple options available with best rates guaranteed in the market. Call now for best deals and services!This beautiful 3 bhk flat in sector 67 gurgaon is situated in ireo victory valley, one of the popular residential society in gurgaon. The flat occupies a super built up area of 2411 sq.Ft. That consists of 3 bedrooms, 3 bathrooms and 3 balconies. The residential building has 51 floors in total and the flat for sale is located on the 10th floor. Being a ready to move project, you can expect immediate possession of this 1-5 years old property. Many of the modern amenities being offered, like swimming pool, shopping centre, club house / community center, cctv surveillance, fitness centre / gym, park and lift(s), will provide a pleasant living experience for you.",2150.0,0.0,1.0,0.0,0.0,0.0,2.0,46.0
3 BHK Flat in Sector 67 Gurgaon,flat,m3m merlin,sector 67,3.4,14418.0,3.0,4.0,3,"Golf Course Extension Road, Sector 67 Gurgaon, Gurgaon, Haryana",16.0,Relatively New,"100% genuine deals available in m3m merlin. Multiple options available with best rates guaranteed in the market. Call now for best deals and services!
 
M3m merlin is one of the most popular destination for buying apartments/ flats in sector 67 gurgaon. You too can be a part of this society by purchasing this 3 bhk flat here. The flat occupies a super built up area of 2358 sq.Ft. That consists of 3 bedrooms, 4 bathrooms and 3 balconies. The property is located on the 16th floor of a 21 floors tall building. Being a ready to move project, you can expect immediate possession of this 1-5 years old property. All the modern amenities such as swimming pool, security personnel, maintenance staff, shopping centre, club house / community center, cctv surveillance, fitness centre / gym, park and lift(s) will make life easier for you.",2016.0,0.0,1.0,0.0,0.0,0.0,2.0,137.0
3 BHK Flat in Sector 67 Gurgaon,flat,m3m merlin,sector 67,3.32,14079.0,3.0,4.0,3,"Golf Course Extension Road, Sector 67 Gurgaon, Gurgaon, Haryana",8.0,New Property,"We specialize in sale purchase of m3m merlin. Multiple options available with best rates guaranteed in the market. Call now for best deals and services!Located in the popular residential address of sector 67 gurgaon, m3m merlin is one of the most preferred destination for apartments in gurgaon. This 3 bhk flat is your ticket to be a part of this community. The floor plan additionally contains 3 bedroom(s), 4 bathrooms and 3 balconies. All in all, the flat is spread over a super built up area of 2358 sq.Ft. The property is located on the 8th floor of a 21 floors tall building. This is a ready to move project and the property is 0-1 year old. M3m merlin is designed very well to provide modern facilities such as swimming pool, security personnel, maintenance staff, shopping centre, club house / community center, cctv surveillance, fitness centre / gym, park and lift(s).",2016.0,0.0,1.0,0.0,0.0,0.0,2.0,159.0
2 BHK Flat in Palam Vihar,flat,bestech park view residency,sector 1,0.95,6713.0,2.0,2.0,3,"Palam Vihar, Gurgaon, Haryana",1.0,Moderately Old,"This 2 bhk flat is located in bestech park view residency, which houses some of the most spacious flats in palam vihar, gurgaon. This residential flat is north-East-Facing direction. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 3 balconies. All in all, the flat is spread over a super built up area of 1415 sq.Ft. The property is located on the 1st floor of a 14 floors tall building. As the project is already ready to move, so you can easily move into this 5-10 years old property. The wood flooring of this flat is beautifully designed and helps to give it a pleasing look. The flat will offer a modern lifestyle as it is presented with many of the amenities such as swimming pool, grocery shop, cctv surveillance, club house / community center, fitness centre / gym, park, lift(s), maintenance staff, visitor parking and shopping centre. Borewell/tank and municipal corporation provides a regular supply of water to this residential project.",1281.0,0.0,0.0,0.0,0.0,0.0,2.0,152.0
2 BHK Flat in Sector 74 Gurgaon,flat,m3m skywalk,sector 74,1.55,13790.0,2.0,2.0,3+,"T1-1111, Sector 74 Gurgaon, Gurgaon, Haryana",18.0,Relatively New,"This lovely 2 bhk apartment/flat in sector 74 gurgaon is available for sale in one of gurgaon's most popular projects, m3m skywalk. The flat occupies a super built up area of 1406 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and more than 3 balconies. This flat is situated on the 10th floor of this 30 floors tall residential building. This is a ready to move project and the property is 1-5 years old.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",1300.0,0.0,0.0,0.0,0.0,1.0,1.0,165.0
2 BHK Flat in Sector 74 Gurgaon,flat,m3m skywalk,sector 74,1.54,10814.0,2.0,2.0,3+,"T2-1111, Sector 74 Gurgaon, Gurgaon, Haryana",15.0,Relatively New,"Located in the popular residential address of sector 74 gurgaon, m3m skywalk is one of the most preferred destination for apartments in gurgaon. This 2 bhk flat is your ticket to be a part of this community. The flat occupies a super built up area of 1424 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and more than 3 balconies. The flat has a total of 30 floors and this property is situated on 15th floor. This 1-5 years old property is available for immediate possession as the project is ready to move.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",1200.0,0.0,0.0,0.0,0.0,1.0,1.0,174.0
3 BHK Flat in Sector 74 Gurgaon,flat,m3m skywalk,sector 74,2.45,12140.0,3.0,3.0,3+,"T2-1111, Sector 74 Gurgaon, Gurgaon, Haryana",25.0,Relatively New,"This lovely 3 bhk apartment/flat in sector 74 gurgaon is available for sale in one of gurgaon's most popular projects, m3m skywalk. Containing 3 bedroom(s), 3 bathrooms and more than 3 balconies, this flat is spread over a super built up area of 2018 sq.Ft. The property is located on the 25th floor of a 30 floors tall building. This is a ready to move project and the property is 1-5 years old.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",1800.0,1.0,0.0,0.0,0.0,0.0,1.0,151.0
3 BHK Flat in Sector 104 Gurgaon,flat,puri emerald bay,sector 104,2.6,15160.0,3.0,4.0,3+,"Gurgaon, Sector 104 Gurgaon, Gurgaon, Haryana",5.0,Relatively New,"Available for sale 2450 sqft appartment 3bhk+ser+study in puri emrald bay sec-104 , gurgaon. 3 open side properties
Spectacular view of national park
Some of the amenities are gated community, community hall and center
The total area of the project is 16 acres
The open area in the project is 80 %.",2061.0,1.0,1.0,0.0,0.0,0.0,2.0,157.0
3 BHK Flat in Sector 85 Gurgaon,flat,ss the leaf,sector 85,1.83,7610.0,3.0,4.0,3,"901, Sector 85 Gurgaon, Gurgaon, Haryana",9.0,Relatively New,"Located in sector 85 gurgaon. Spread over 11.03 acres area, 85 percent green open space. 9 acre of landscaped green with water bodies. 3-Tier security system and 100 percent power back up. Near by mall market hospital and school. Bang on dwarka express way. Imported marble in the living room and kitchen. Designer vrv air conditioning.",1925.0,0.0,0.0,0.0,0.0,0.0,1.0,49.0
2 BHK Flat in Sector 85 Gurgaon,flat,ss the leaf,sector 85,1.09,6661.0,2.0,2.0,3,"502, Sector 85 Gurgaon, Gurgaon, Haryana",5.0,Relatively New,"Located in sector 85 gurgaon. Spread over 11.03 acres area, 85 percent green open space. 9 acre of landscaped green with water bodies. 3-Tier security system and 100 percent power back up. Near by mall market hospital and school. Bang on dwarka express way.",1475.0,0.0,0.0,0.0,0.0,0.0,1.0,49.0
3 BHK Flat in Sector 85 Gurgaon,flat,ss the leaf,sector 85,1.87,7780.0,3.0,4.0,3,"702, Sector 85 Gurgaon, Gurgaon, Haryana",7.0,Relatively New,"Located in sector 85 gurgaon. Spread over 11.03 acres area, 85 percent green open space. 9 acre of landscaped green with water bodies. 3-Tier security system and 100 percent power back up. Near by mall market hospital and school. Bang on dwarka express way. Imported marble in the living room and kitchen. Designer vrv air conditioning.",2225.0,0.0,0.0,0.0,0.0,0.0,1.0,49.0
2 BHK Flat in Sector 85 Gurgaon,flat,ss the leaf,sector 85,1.05,6163.0,2.0,2.0,3+,"Sector 85 Gurgaon, Sector 85 Gurgaon, Gurgaon, Haryana",7.0,Relatively New,"Ss the leaf by ss group offers the plan that is 3-Sided open apartments for a 360 degree view in sector 85. 2bhk is available for sale. Middle floor and sun facing unit.
 
 Additional details :Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
The society has dedicated security guards for every tower.",1512.0,0.0,0.0,1.0,0.0,0.0,2.0,137.0
3 BHK Flat in Sector 85 Gurgaon,flat,ss the leaf,sector 85,1.77,7350.0,3.0,4.0,3+,"Sector 85 Gurgaon, Sector 85 Gurgaon, Gurgaon, Haryana",7.0,New Property,"Ss the leaf by ss group offers the plan that is 3-Sided open apartments for a 360 degree view in sector 85. Middle floor unit.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",2179.0,0.0,0.0,1.0,0.0,0.0,2.0,92.0
3 BHK Flat in Sector 74 Gurgaon,flat,m3m skywalk,sector 74,2.2,10901.0,3.0,3.0,3,"Sector 74 Gurgaon, Gurgaon, Haryana",12.0,New Property,Very nice property ultra luxury,1826.0,1.0,0.0,0.0,0.0,0.0,2.0,49.0
1 BHK Flat in Sector 2 Gurgaon,flat,ansal api celebrity suites,sector 2,0.6,907.0,1.0,1.0,1,"Sector 2 Gurgaon, Gurgaon, Haryana",5.0,Moderately Old,"1 bhk society apartment flat available for sale in celebrity suite, palam vihar, gurgaon. For more details and site visit please contact us.
 Additional details :The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
The society has dedicated security guards for every tower.",665.0,0.0,0.0,0.0,0.0,0.0,2.0,49.0
4 BHK Flat in Sector 47 Gurgaon,flat,cghs airport apartment,sector 47,1.8,6000.0,4.0,4.0,3+,"1234, Sector 47 Gurgaon, Gurgaon, Haryana",4.0,Moderately Old,"This 4 bhk flat is located in cghs airport apartment, which houses some of the most spacious flats in sector 47 gurgaon. The flat is facing the north-West direction. The flat occupies a super built up area of 3000 sq.Ft. That consists of 4 bedrooms, 4 bathrooms and more than 3 balconies. The residential building has 10 floors in total and the flat for sale is located on the 4th floor. As the project is already ready to move, so you can easily move into this 5-10 years old property. The well built marble flooring enhances the aesthetic appeal of this flat. Proximity to landmarks like close to hospital, close to market, close to school and close to highway makes this an ideal property for families. Cghs airport apartment is designed very well to provide modern facilities such as swimming pool, security personnel, maintenance staff, club house / community center, fitness centre / gym, park, lift(s) and visitor parking. The society provides continuous water supply from municipal corporation and borewell/tank.",2857.0,0.0,0.0,1.0,0.0,0.0,2.0,49.0
3 BHK Flat in Sector 1 Imt Manesar,flat,sbr minda sec-1 imt manesar,sector 1,0.64,4193.0,3.0,2.0,3+,"Sector 1 Imt Manesar, Gurgaon, Haryana",6.0,Old Property,"Flat for sale sec-1 imt manesar good property ------------------------------------------------------------------------------------
 
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",1696.0,0.0,0.0,0.0,0.0,0.0,1.0,75.0
3 BHK Flat in Sector 1 Imt Manesar,flat,prasha apartments,sector 1,0.75,3309.0,3.0,3.0,3+,"Sector 1 Imt Manesar, Gurgaon, Haryana",3.0,Moderately Old,"Prasha gh-23 ................................................Good property imt manesar
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",1914.0,0.0,1.0,0.0,0.0,0.0,2.0,49.0
